"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs4242470-<b>?</b>,"3 x 10-8",,'-,'-,'-,'-,PXDNL,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,8:51733738
rs4244354-<b>?</b>,"2 x 10-9",,'-,'-,'-,'-,"TRIM8, ARL3","Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,10:102666420
rs4298967-<b>?</b>,"8 x 10-20",,'-,'-,'-,'-,CACNA1C,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,12:2299028
rs4380187-<b>?</b>,"8 x 10-12",,'-,'-,'-,'-,'-,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,"Mapping not available"
rs7618871-<b>?</b>,"1 x 10-8",,'-,'-,'-,'-,STAG1,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,3:136681578
rs7785663-<b>?</b>,"3 x 10-8",,'-,'-,'-,'-,DGKI,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,7:137385552
rs7968921-<b>?</b>,"5 x 10-8",,'-,'-,'-,'-,SOX5,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,12:23807243
rs8054556-<b>?</b>,"4 x 10-11",,'-,'-,'-,'-,TMEM219,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,16:29946895
rs8066384-<b>?</b>,"3 x 10-8",,'-,'-,'-,'-,RPTOR,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,17:80651956
rs8084351-<b>?</b>,"4 x 10-12",,'-,'-,'-,'-,DCC,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,18:53200189
rs9360557-<b>?</b>,"3 x 10-9",,'-,'-,'-,'-,RIMS1,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,6:72423043
rs9636107-<b>?</b>,"3 x 10-10",,'-,'-,'-,'-,TCF4,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,18:55532886
rs9677504-<b>?</b>,"7 x 10-9",,'-,'-,'-,'-,SPAG16,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,2:214317165
rs9787523-<b>?</b>,"4 x 10-10",,'-,'-,'-,'-,SORCS3,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,10:104700702
rs9834970-<b>?</b>,"2 x 10-17",,'-,'-,'-,'-,"HSPD1P6, LINC02033","Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,3:36814539
rs9922678-<b>?</b>,"3 x 10-10",,'-,'-,'-,'-,GRIN2A,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,16:9852462
rs10043984-<b>?</b>,"2 x 10-9",,'-,'-,'-,'-,KDM3B,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,5:138376432
rs10108980-<b>?</b>,"4 x 10-10",,'-,'-,'-,'-,CSMD1,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,8:4333924
rs10149470-<b>?</b>,"5 x 10-13",,'-,'-,'-,'-,"BAG5, RNU7-160P","Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,14:103551616
rs10211550-<b>?</b>,"1 x 10-8",,'-,'-,'-,'-,"HSPE1-MOB4, MOB4","Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,2:197518575
rs10265001-<b>?</b>,"5 x 10-9",,'-,'-,'-,'-,"BRAF, CCT4P1","Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,7:140965721
rs10491964-<b>?</b>,"2 x 10-8",,'-,'-,'-,'-,CACNA1C,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,12:2391265
rs10514301-<b>?</b>,"2 x 10-9",,'-,'-,'-,'-,LINC00461,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,5:88643836
rs10745841-<b>?</b>,"1 x 10-8",,'-,'-,'-,'-,ANKS1B,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,12:99099957
rs10791097-<b>?</b>,"2 x 10-10",,'-,'-,'-,'-,'-,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,"Mapping not available"
rs10883832-<b>?</b>,"3 x 10-14",,'-,'-,'-,'-,NT5C2,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,10:103111522
rs11231640-<b>?</b>,"8 x 10-9",,'-,'-,'-,'-,"RCOR2, NAA40","Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,11:63923577
rs11570190-<b>?</b>,"1 x 10-10",,'-,'-,'-,'-,CTNND1,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,11:57792980
rs11658257-<b>?</b>,"2 x 10-8",,'-,'-,'-,'-,GID4,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,17:18053145
rs4391122-<b>?</b>,"1 x 10-10",,'-,'-,'-,'-,LINC02057,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,5:61302716
rs4481150-<b>?</b>,"5 x 10-17",,'-,'-,'-,'-,ITIH3,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,3:52803777
rs4495234-<b>?</b>,"4 x 10-8",,'-,'-,'-,'-,PPP2R2B,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,5:146899328
rs4526442-<b>?</b>,"4 x 10-8",,'-,'-,'-,'-,ZCCHC7,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,9:37207272
