"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs55754459-<b>?</b>,"9 x 10-16",,NR,'-,'-,'-,AGPAT4,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,6:161130144
rs2023938-<b>?</b>,"4 x 10-11",,NR,'-,'-,'-,HDAC9,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,7:18997152
rs11556924-<b>?</b>,"3 x 10-16",,NR,'-,'-,'-,ZC3HC1,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,7:130023656
rs3918226-<b>?</b>,"2 x 10-16",,NR,'-,'-,'-,NOS3,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,7:150993088
rs35617716-<b>?</b>,"5 x 10-11",,NR,'-,'-,'-,"LPL, RPL30P9","Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,8:20012752
rs7816579-<b>?</b>,"4 x 10-20",,NR,'-,'-,'-,SCARA5,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,8:27948298
rs10087526-<b>?</b>,"3 x 10-10",,NR,'-,'-,'-,RP1,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,8:54520591
rs2954032-<b>?</b>,"1 x 10-14",,NR,'-,'-,'-,"TRIB1, LINC00861","Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,8:125481150
rs1537372-<b>?</b>,"5 x 10-155",,NR,'-,'-,'-,CDKN2B-AS1,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,9:22103184
rs62572789-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,DAB2IP,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,9:121656031
rs140511201-<b>?</b>,"2 x 10-17",,NR,'-,'-,'-,GTF3C4,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,9:132684768
rs687621-<b>?</b>,"5 x 10-324",,NR,'-,'-,'-,ABO,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,9:133261662
rs9337951-<b>?</b>,"1 x 10-12",,NR,'-,'-,'-,JCAD,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,10:30028144
rs523297-<b>?</b>,"8 x 10-18",,NR,'-,'-,'-,"LINC00841, LINC02881","Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,10:44261109
rs7088704-<b>?</b>,"9 x 10-10",,NR,'-,'-,'-,TSPAN14,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,10:80482174
rs12221335-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,CNNM2,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,10:103009635
rs6591052-<b>?</b>,"1 x 10-16",,NR,'-,'-,'-,"DYNC2H1, MIR4693","Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,11:103818483
rs2724414-<b>?</b>,"1 x 10-10",,NR,'-,'-,'-,LINC02732,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,11:110385525
rs11831449-<b>?</b>,"4 x 10-24",,NR,'-,'-,'-,VWF,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,12:6045303
rs11170820-<b>?</b>,"6 x 10-10",,NR,'-,'-,'-,"FAM242C, FLJ12825","Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,12:54120131
rs4842675-<b>?</b>,"1 x 10-11",,NR,'-,'-,'-,ATP2B1,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,12:89681466
rs4981022-<b>?</b>,"2 x 10-19",,NR,'-,'-,'-,STAB2,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,12:103756096
rs75524776-<b>?</b>,"2 x 10-14",,NR,'-,'-,'-,"UBE3B, MMAB","Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,12:109538471
rs149607519-<b>?</b>,"4 x 10-55",,NR,'-,'-,'-,LINC01405,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,12:110951633
rs11066008-<b>?</b>,"2 x 10-39",,NR,'-,'-,'-,ACAD10,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,12:111702865
rs11066359-<b>?</b>,"4 x 10-32",,NR,'-,'-,'-,RPH3A,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,12:112607850
rs148608463-<b>?</b>,"3 x 10-12",,NR,'-,'-,'-,HNF1A-AS1,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,12:120975224
rs11057830-<b>?</b>,"7 x 10-12",,NR,'-,'-,'-,SCARB1,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,12:124822507
rs77330370-<b>?</b>,"7 x 10-19",,NR,'-,'-,'-,FLT1,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,13:28404786
rs11617955-<b>?</b>,"3 x 10-14",,NR,'-,'-,'-,COL4A1,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,13:110165755
rs112635299-<b>?</b>,"6 x 10-10",,NR,'-,'-,'-,"SERPINA2, SERPINA1","Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,14:94371805
rs12897285-<b>?</b>,"6 x 10-12",,NR,'-,'-,'-,HHIPL1,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,14:99657718
rs72743461-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,SMAD3,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,15:67149412
rs11072811-<b>?</b>,"8 x 10-25",,NR,'-,'-,'-,MORF4L1,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,15:78839988
rs7162318-<b>?</b>,"1 x 10-16",,NR,'-,'-,'-,"CARMAL, KRT18P47","Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,15:89031951
rs8027450-<b>?</b>,"2 x 10-19",,NR,'-,'-,'-,FURIN,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,15:90875164
rs3851738-<b>?</b>,"6 x 10-13",,NR,'-,'-,'-,CFDP1,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,16:75353635
rs11658797-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,SMG6,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,17:2185675
rs2906095-<b>?</b>,"3 x 10-16",,NR,'-,'-,'-,"FLJ40194, ZNF652","Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,17:49304906
rs56289821-<b>?</b>,"1 x 10-29",,NR,'-,'-,'-,SMARCA4,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,19:11077571
rs10417684-<b>?</b>,"1 x 10-10",,NR,'-,'-,'-,"MAP1S, FCHO1","Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,19:17739496
rs11670056-<b>?</b>,"1 x 10-10",,NR,'-,'-,'-,ELL,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,19:18479133
rs2288874-<b>?</b>,"2 x 10-13",,NR,'-,'-,'-,TGFB1,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,19:41346870
rs7412-<b>?</b>,"6 x 10-30",,NR,'-,'-,'-,APOE,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,19:44908822
rs28451064-<b>?</b>,"8 x 10-27",,NR,'-,'-,'-,"LINC00310, KCNE2","Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,21:34221526
rs11591147-<b>?</b>,"5 x 10-18",,NR,'-,'-,'-,PCSK9,"Coronary artery disease or von Willebrand factor levels (pleiotropy)","von Willebrand factor measurement, coronary artery disease",'-,GCST90129544,1:55039974
rs55869368-<b>?</b>,"1 x 10-21",,NR,'-,'-,'-,PLPP3,"Coronary artery disease or von Willebrand factor levels (pleiotropy)","von Willebrand factor measurement, coronary artery disease",'-,GCST90129544,1:56520961
rs4970836-<b>?</b>,"2 x 10-37",,NR,'-,'-,'-,"CELSR2, PSRC1","Coronary artery disease or von Willebrand factor levels (pleiotropy)","von Willebrand factor measurement, coronary artery disease",'-,GCST90129544,1:109279175
rs4656658-<b>?</b>,"1 x 10-10",,NR,'-,'-,'-,"NME7, ATP1B1","Coronary artery disease or von Willebrand factor levels (pleiotropy)","von Willebrand factor measurement, coronary artery disease",'-,GCST90129544,1:169181015
rs17163313-<b>?</b>,"5 x 10-22",,NR,'-,'-,'-,MIA3,"Coronary artery disease or von Willebrand factor levels (pleiotropy)","von Willebrand factor measurement, coronary artery disease",'-,GCST90129544,1:222626283
rs515135-<b>?</b>,"4 x 10-14",,NR,'-,'-,'-,"TDRD15, APOB","Coronary artery disease or von Willebrand factor levels (pleiotropy)","von Willebrand factor measurement, coronary artery disease",'-,GCST90129544,2:21063185
rs6544713-<b>?</b>,"8 x 10-15",,NR,'-,'-,'-,ABCG8,"Coronary artery disease or von Willebrand factor levels (pleiotropy)","von Willebrand factor measurement, coronary artery disease",'-,GCST90129544,2:43846742
rs6705839-<b>?</b>,"2 x 10-18",,NR,'-,'-,'-,"PARTICL, RPSAP22","Coronary artery disease or von Willebrand factor levels (pleiotropy)","von Willebrand factor measurement, coronary artery disease",'-,GCST90129544,2:85534156
rs2252641-<b>?</b>,"7 x 10-10",,NR,'-,'-,'-,TEX41,"Coronary artery disease or von Willebrand factor levels (pleiotropy)","von Willebrand factor measurement, coronary artery disease",'-,GCST90129544,2:145043894
rs72934535-<b>?</b>,"4 x 10-26",,NR,'-,'-,'-,NBEAL1,"Coronary artery disease or von Willebrand factor levels (pleiotropy)","von Willebrand factor measurement, coronary artery disease",'-,GCST90129544,2:203104250
rs17843797-<b>?</b>,"2 x 10-11",,NR,'-,'-,'-,UMPS,"Coronary artery disease or von Willebrand factor levels (pleiotropy)","von Willebrand factor measurement, coronary artery disease",'-,GCST90129544,3:124734175
rs7621025-<b>?</b>,"1 x 10-11",,NR,'-,'-,'-,STAG1,"Coronary artery disease or von Willebrand factor levels (pleiotropy)","von Willebrand factor measurement, coronary artery disease",'-,GCST90129544,3:136553404
rs12695685-<b>?</b>,"2 x 10-12",,NR,'-,'-,'-,MRAS,"Coronary artery disease or von Willebrand factor levels (pleiotropy)","von Willebrand factor measurement, coronary artery disease",'-,GCST90129544,3:138377255
rs789294-<b>?</b>,"4 x 10-12",,NR,'-,'-,'-,GPR149,"Coronary artery disease or von Willebrand factor levels (pleiotropy)","von Willebrand factor measurement, coronary artery disease",'-,GCST90129544,3:154339952
rs10857147-<b>?</b>,"2 x 10-11",,NR,'-,'-,'-,"PRDM8, FGF5","Coronary artery disease or von Willebrand factor levels (pleiotropy)","von Willebrand factor measurement, coronary artery disease",'-,GCST90129544,4:80259918
rs7678555-<b>?</b>,"2 x 10-11",,NR,'-,'-,'-,"LINC02502, MAD2L1","Coronary artery disease or von Willebrand factor levels (pleiotropy)","von Willebrand factor measurement, coronary artery disease",'-,GCST90129544,4:119988346
rs144959191-<b>?</b>,"1 x 10-17",,NR,'-,'-,'-,"EDNRA, PRMT5P1","Coronary artery disease or von Willebrand factor levels (pleiotropy)","von Willebrand factor measurement, coronary artery disease",'-,GCST90129544,4:147466549
rs11725969-<b>?</b>,"1 x 10-16",,NR,'-,'-,'-,GUCY1A1,"Coronary artery disease or von Willebrand factor levels (pleiotropy)","von Willebrand factor measurement, coronary artery disease",'-,GCST90129544,4:155705436
rs145769572-<b>?</b>,"4 x 10-16",,NR,'-,'-,'-,"NUTF2P8, TDRD15","Coronary artery disease or factor XI levels (pleiotropy)","factor XI measurement, coronary artery disease",'-,GCST90129545,2:21152161
rs6544713-<b>?</b>,"9 x 10-15",,NR,'-,'-,'-,ABCG8,"Coronary artery disease or factor XI levels (pleiotropy)","factor XI measurement, coronary artery disease",'-,GCST90129545,2:43846742
rs180950592-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,"ZNF638, PAIP2B","Coronary artery disease or factor XI levels (pleiotropy)","factor XI measurement, coronary artery disease",'-,GCST90129545,2:71268059
rs6705839-<b>?</b>,"3 x 10-18",,NR,'-,'-,'-,"PARTICL, RPSAP22","Coronary artery disease or factor XI levels (pleiotropy)","factor XI measurement, coronary artery disease",'-,GCST90129545,2:85534156
rs2252641-<b>?</b>,"7 x 10-10",,NR,'-,'-,'-,TEX41,"Coronary artery disease or factor XI levels (pleiotropy)","factor XI measurement, coronary artery disease",'-,GCST90129545,2:145043894
rs72934535-<b>?</b>,"5 x 10-26",,NR,'-,'-,'-,NBEAL1,"Coronary artery disease or factor XI levels (pleiotropy)","factor XI measurement, coronary artery disease",'-,GCST90129545,2:203104250
rs17843797-<b>?</b>,"3 x 10-11",,NR,'-,'-,'-,UMPS,"Coronary artery disease or factor XI levels (pleiotropy)","factor XI measurement, coronary artery disease",'-,GCST90129545,3:124734175
rs7621025-<b>?</b>,"1 x 10-11",,NR,'-,'-,'-,STAG1,"Coronary artery disease or factor XI levels (pleiotropy)","factor XI measurement, coronary artery disease",'-,GCST90129545,3:136553404
rs12695685-<b>?</b>,"2 x 10-12",,NR,'-,'-,'-,MRAS,"Coronary artery disease or factor XI levels (pleiotropy)","factor XI measurement, coronary artery disease",'-,GCST90129545,3:138377255
rs789294-<b>?</b>,"4 x 10-12",,NR,'-,'-,'-,GPR149,"Coronary artery disease or factor XI levels (pleiotropy)","factor XI measurement, coronary artery disease",'-,GCST90129545,3:154339952
rs710446-<b>?</b>,"6 x 10-294",,NR,'-,'-,'-,KNG1,"Coronary artery disease or factor XI levels (pleiotropy)","factor XI measurement, coronary artery disease",'-,GCST90129545,3:186742138
rs78740477-<b>?</b>,"5 x 10-11",,NR,'-,'-,'-,"LARP1BP1, EXOC5P1","Coronary artery disease or factor XI levels (pleiotropy)","factor XI measurement, coronary artery disease",'-,GCST90129545,4:63001974
rs10857147-<b>?</b>,"6 x 10-13",,NR,'-,'-,'-,"PRDM8, FGF5","Coronary artery disease or factor XI levels (pleiotropy)","factor XI measurement, coronary artery disease",'-,GCST90129545,4:80259918
rs7678555-<b>?</b>,"2 x 10-11",,NR,'-,'-,'-,"LINC02502, MAD2L1","Coronary artery disease or factor XI levels (pleiotropy)","factor XI measurement, coronary artery disease",'-,GCST90129545,4:119988346
rs144959191-<b>?</b>,"3 x 10-17",,NR,'-,'-,'-,"EDNRA, PRMT5P1","Coronary artery disease or factor XI levels (pleiotropy)","factor XI measurement, coronary artery disease",'-,GCST90129545,4:147466549
rs11725969-<b>?</b>,"4 x 10-16",,NR,'-,'-,'-,GUCY1A1,"Coronary artery disease or factor XI levels (pleiotropy)","factor XI measurement, coronary artery disease",'-,GCST90129545,4:155705436
rs4253417-<b>?</b>,"9 x 10-189",,NR,'-,'-,'-,F11,"Coronary artery disease or factor XI levels (pleiotropy)","factor XI measurement, coronary artery disease",'-,GCST90129545,4:186277851
rs113140904-<b>?</b>,"3 x 10-10",,NR,'-,'-,'-,SEMA5A,"Coronary artery disease or factor XI levels (pleiotropy)","factor XI measurement, coronary artery disease",'-,GCST90129545,5:9546023
rs246600-<b>?</b>,"3 x 10-13",,NR,'-,'-,'-,ARHGAP26,"Coronary artery disease or factor XI levels (pleiotropy)","factor XI measurement, coronary artery disease",'-,GCST90129545,5:143137332
rs13197912-<b>?</b>,"2 x 10-29",,NR,'-,'-,'-,PHACTR1,"Coronary artery disease or factor XI levels (pleiotropy)","factor XI measurement, coronary artery disease",'-,GCST90129545,6:12908515
rs2754597-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,LINC00240,"Coronary artery disease or factor XI levels (pleiotropy)","factor XI measurement, coronary artery disease",'-,GCST90129545,6:26995168
rs142334036-<b>?</b>,"3 x 10-11",,NR,'-,'-,'-,LINC01012,"Coronary artery disease or factor XI levels (pleiotropy)","factor XI measurement, coronary artery disease",'-,GCST90129545,6:27701625
rs1225600-<b>?</b>,"1 x 10-10",,NR,'-,'-,'-,ZSCAN26,"Coronary artery disease or factor XI levels (pleiotropy)","factor XI measurement, coronary artery disease",'-,GCST90129545,6:28269667
rs117880736-<b>?</b>,"1 x 10-11",,NR,'-,'-,'-,"OR2G1P, OR2J4P","Coronary artery disease or factor XI levels (pleiotropy)","factor XI measurement, coronary artery disease",'-,GCST90129545,6:29186252
rs117483846-<b>?</b>,"1 x 10-12",,NR,'-,'-,'-,ZNRD1ASP,"Coronary artery disease or factor XI levels (pleiotropy)","factor XI measurement, coronary artery disease",'-,GCST90129545,6:30042717
rs28451064-<b>?</b>,"3 x 10-27",,NR,'-,'-,'-,"LINC00310, KCNE2","Coronary artery disease or fibrinogen levels (pleiotropy)","fibrinogen measurement, coronary artery disease",'-,GCST90129546,21:34221526
rs9808651-<b>?</b>,"1 x 10-20",,NR,'-,'-,'-,"LINC01700, RPL23AP12","Coronary artery disease or fibrinogen levels (pleiotropy)","fibrinogen measurement, coronary artery disease",'-,GCST90129546,21:39094542
rs68174505-<b>?</b>,"5 x 10-10",,NR,'-,'-,'-,"Y_RNA, ARSA","Coronary artery disease or fibrinogen levels (pleiotropy)","fibrinogen measurement, coronary artery disease",'-,GCST90129546,22:50669644
rs11591147-<b>?</b>,"4 x 10-18",,NR,'-,'-,'-,PCSK9,"Coronary artery disease or fibrinogen levels (pleiotropy)","fibrinogen measurement, coronary artery disease",'-,GCST90129546,1:55039974
rs55869368-<b>?</b>,"7 x 10-23",,NR,'-,'-,'-,PLPP3,"Coronary artery disease or fibrinogen levels (pleiotropy)","fibrinogen measurement, coronary artery disease",'-,GCST90129546,1:56520961
rs1892534-<b>?</b>,"3 x 10-15",,NR,'-,'-,'-,LEPR,"Coronary artery disease or fibrinogen levels (pleiotropy)","fibrinogen measurement, coronary artery disease",'-,GCST90129546,1:65640261
rs4970836-<b>?</b>,"2 x 10-38",,NR,'-,'-,'-,"CELSR2, PSRC1","Coronary artery disease or fibrinogen levels (pleiotropy)","fibrinogen measurement, coronary artery disease",'-,GCST90129546,1:109279175
